group_a,group_b,mean_diff,p_value,ci_low,ci_high,significant_0.05
nightly-2020-01-30,nightly-2020-06-01,-2.665572,0.499473,-6.428655,1.097511,False
nightly-2020-01-30,nightly-2021-03-01,14.475747,0,10.712664,18.238829,True
nightly-2020-01-30,nightly-2021-06-01,19.314856,0,15.551773,23.077939,True
nightly-2020-01-30,nightly-2021-08-01,19.906598,0,16.143515,23.669681,True
nightly-2020-01-30,nightly-2022-09-01,31.138354,0,27.375271,34.901437,True
nightly-2020-01-30,nightly-2023-01-01,33.199227,0,29.436144,36.962310,True
nightly-2020-01-30,nightly-2023-06-01,41.035739,0,37.272656,44.798821,True
nightly-2020-01-30,nightly-2024-06-01,38.646118,0,34.883035,42.409200,True
nightly-2020-01-30,nightly-2024-12-01,39.748132,0,35.985049,43.511215,True
nightly-2020-01-30,nightly-2025-06-01,47.267966,0,43.504883,51.031048,True
nightly-2020-01-30,nightly-2025-09-01,41.475529,0,37.712446,45.238611,True
nightly-2020-01-30,nightly-2025-12-01,41.456895,0,37.693812,45.219977,True
nightly-2020-01-30,nightly-2026-01-01,34.271960,0,30.508877,38.035043,True
nightly-2020-01-30,nightly-2026-02-24,34.567678,0,30.804595,38.330761,True
nightly-2020-06-01,nightly-2021-03-01,17.141319,0,13.378236,20.904401,True
nightly-2020-06-01,nightly-2021-06-01,21.980428,0,18.217345,25.743511,True
nightly-2020-06-01,nightly-2021-08-01,22.572170,0,18.809087,26.335253,True
nightly-2020-06-01,nightly-2022-09-01,33.803926,0,30.040843,37.567009,True
nightly-2020-06-01,nightly-2023-01-01,35.864799,0,32.101716,39.627882,True
nightly-2020-06-01,nightly-2023-06-01,43.701311,0,39.938228,47.464394,True
nightly-2020-06-01,nightly-2024-06-01,41.311690,0,37.548607,45.074772,True
nightly-2020-06-01,nightly-2024-12-01,42.413704,0,38.650621,46.176787,True
nightly-2020-06-01,nightly-2025-06-01,49.933538,0,46.170455,53.696621,True
nightly-2020-06-01,nightly-2025-09-01,44.141101,0,40.378018,47.904183,True
nightly-2020-06-01,nightly-2025-12-01,44.122467,0,40.359384,47.885550,True
nightly-2020-06-01,nightly-2026-01-01,36.937532,0,33.174449,40.700615,True
nightly-2020-06-01,nightly-2026-02-24,37.233250,0,33.470168,40.996333,True
nightly-2021-03-01,nightly-2021-06-01,4.839109,0.00142941,1.076027,8.602192,True
nightly-2021-03-01,nightly-2021-08-01,5.430852,0.000133719,1.667769,9.193934,True
nightly-2021-03-01,nightly-2022-09-01,16.662607,0,12.899525,20.425690,True
nightly-2021-03-01,nightly-2023-01-01,18.723480,0,14.960398,22.486563,True
nightly-2021-03-01,nightly-2023-06-01,26.559992,0,22.796909,30.323075,True
nightly-2021-03-01,nightly-2024-06-01,24.170371,0,20.407288,27.933454,True
nightly-2021-03-01,nightly-2024-12-01,25.272386,0,21.509303,29.035468,True
nightly-2021-03-01,nightly-2025-06-01,32.792219,0,29.029136,36.555302,True
nightly-2021-03-01,nightly-2025-09-01,26.999782,0,23.236699,30.762865,True
nightly-2021-03-01,nightly-2025-12-01,26.981148,0,23.218065,30.744231,True
nightly-2021-03-01,nightly-2026-01-01,19.796214,0,16.033131,23.559296,True
nightly-2021-03-01,nightly-2026-02-24,20.091932,0,16.328849,23.855014,True
nightly-2021-06-01,nightly-2021-08-01,0.591742,1,-3.171341,4.354825,False
nightly-2021-06-01,nightly-2022-09-01,11.823498,0,8.060415,15.586581,True
nightly-2021-06-01,nightly-2023-01-01,13.884371,0,10.121288,17.647454,True
nightly-2021-06-01,nightly-2023-06-01,21.720883,0,17.957800,25.483965,True
nightly-2021-06-01,nightly-2024-06-01,19.331262,0,15.568179,23.094344,True
nightly-2021-06-01,nightly-2024-12-01,20.433276,0,16.670193,24.196359,True
nightly-2021-06-01,nightly-2025-06-01,27.953110,0,24.190027,31.716193,True
nightly-2021-06-01,nightly-2025-09-01,22.160673,0,18.397590,25.923755,True
nightly-2021-06-01,nightly-2025-12-01,22.142039,0,18.378956,25.905121,True
nightly-2021-06-01,nightly-2026-01-01,14.957104,0,11.194021,18.720187,True
nightly-2021-06-01,nightly-2026-02-24,15.252822,0,11.489739,19.015905,True
nightly-2021-08-01,nightly-2022-09-01,11.231756,0,7.468673,14.994839,True
nightly-2021-08-01,nightly-2023-01-01,13.292629,0,9.529546,17.055712,True
nightly-2021-08-01,nightly-2023-06-01,21.129141,0,17.366058,24.892223,True
nightly-2021-08-01,nightly-2024-06-01,18.739519,0,14.976437,22.502602,True
nightly-2021-08-01,nightly-2024-12-01,19.841534,0,16.078451,23.604617,True
nightly-2021-08-01,nightly-2025-06-01,27.361368,0,23.598285,31.124450,True
nightly-2021-08-01,nightly-2025-09-01,21.568930,0,17.805848,25.332013,True
nightly-2021-08-01,nightly-2025-12-01,21.550297,0,17.787214,25.313379,True
nightly-2021-08-01,nightly-2026-01-01,14.365362,0,10.602279,18.128445,True
nightly-2021-08-01,nightly-2026-02-24,14.661080,0,10.897997,18.424163,True
nightly-2022-09-01,nightly-2023-01-01,2.060873,0.864196,-1.702210,5.823956,False
nightly-2022-09-01,nightly-2023-06-01,9.897385,0,6.134302,13.660468,True
nightly-2022-09-01,nightly-2024-06-01,7.507764,5.49113e-09,3.744681,11.270847,True
nightly-2022-09-01,nightly-2024-12-01,8.609778,1.0155e-11,4.846695,12.372861,True
nightly-2022-09-01,nightly-2025-06-01,16.129612,0,12.366529,19.892695,True
nightly-2022-09-01,nightly-2025-09-01,10.337175,0,6.574092,14.100257,True
nightly-2022-09-01,nightly-2025-12-01,10.318541,0,6.555458,14.081624,True
nightly-2022-09-01,nightly-2026-01-01,3.133606,0.227358,-0.629477,6.896689,False
nightly-2022-09-01,nightly-2026-02-24,3.429324,0.11854,-0.333758,7.192407,False
nightly-2023-01-01,nightly-2023-06-01,7.836512,8.94303e-10,4.073429,11.599595,True
nightly-2023-01-01,nightly-2024-06-01,5.446891,0.000124957,1.683808,9.209974,True
